Data File, Start Range, Gain 
data\HOU-2012.csv,5.6,0
data\HOU-2012.csv,5.65,0
data\HOU-2012.csv,5.7,0
data\HOU-2012.csv,5.75,0
data\HOU-2012.csv,5.8,0
data\HOU-2012.csv,5.85,1
data\HOU-2012.csv,5.9,1
data\HOU-2012.csv,5.95,1
data\HOU-2012.csv,6.0,1
data\HOU-2012.csv,6.05,1
data\HOU-2012.csv,6.1,2
data\HOU-2012.csv,6.15,2
data\HOU-2012.csv,6.2,3
data\HOU-2012.csv,6.25,3
data\HOU-2012.csv,6.3,3
data\HOU-2012.csv,6.35,3
data\HOU-2012.csv,6.4,3
data\HOU-2012.csv,6.45,2
data\HOU-2012.csv,6.5,4
data\HOU-2012.csv,6.55,3
data\HOU-2012.csv,6.6,1
data\HOU-2012.csv,6.65,1
data\HOU-2012.csv,6.7,1
data\HOU-2012.csv,6.75,1
data\HOU-2012.csv,6.8,3
data\HOU-2012.csv,6.85,3
data\HOU-2012.csv,6.9,3
data\HOU-2012.csv,6.95,4
data\HOU-2012.csv,7.0,2
data\HOU-2013.csv,4.0,2
data\HOU-2013.csv,4.05,3
data\HOU-2013.csv,4.1,5
data\HOU-2013.csv,4.15,6
data\HOU-2013.csv,4.2,8
data\HOU-2013.csv,4.25,6
data\HOU-2013.csv,4.3,6
data\HOU-2013.csv,4.35,5
data\HOU-2013.csv,4.4,4
data\HOU-2013.csv,4.45,5
data\HOU-2013.csv,4.5,4
data\HOU-2013.csv,4.55,3
data\HOU-2013.csv,4.6,3
data\HOU-2013.csv,4.65,2
data\HOU-2013.csv,4.7,2
data\HOU-2013.csv,4.75,1
data\HOU-2013.csv,4.8,1
data\HOU-2013.csv,4.85,1
data\HOU-2013.csv,4.9,1
data\HOU-2013.csv,4.95,1
data\HOU-2013.csv,5.0,1
data\HOU-2013.csv,5.05,3
data\HOU-2013.csv,5.1,3
data\HOU-2013.csv,5.15,3
data\HOU-2013.csv,5.2,3
data\HOU-2013.csv,5.25,4
data\HOU-2013.csv,5.3,4
data\HOU-2013.csv,5.35,4
data\HOU-2013.csv,5.4,3
data\HOU-2013.csv,5.45,1
data\HOU-2013.csv,5.5,1
data\HOU-2013.csv,5.55,2
data\HOU-2013.csv,5.6,2
data\HOU-2013.csv,5.65,0
data\HOU-2013.csv,5.7,0
data\HOU-2013.csv,5.75,0
data\HOU-2013.csv,5.8,0
data\HOU-2013.csv,5.85,0
data\HOU-2013.csv,5.9,0
data\HOU-2013.csv,5.95,0
data\HOU-2013.csv,6.0,0
data\HOU-2013.csv,6.05,0
data\HOU-2013.csv,6.1,0
data\HOU-2013.csv,6.15,0
data\HOU-2013.csv,6.2,0
data\HOU-2013.csv,6.25,0
data\HOU-2013.csv,6.3,0
data\HOU-2013.csv,6.35,0
data\HOU-2013.csv,6.4,0
data\HOU-2013.csv,6.45,0
data\HOU-2013.csv,6.5,0
data\HOU-2013.csv,6.55,0
data\HOU-2013.csv,6.6,0
data\HOU-2013.csv,6.65,0
data\HOU-2013.csv,6.7,0
data\HOU-2013.csv,6.75,0
data\HOU-2013.csv,6.8,0
data\HOU-2013.csv,6.85,0
data\HOU-2013.csv,6.9,0
data\HOU-2013.csv,6.95,0
data\HOU-2013.csv,7.0,0
