Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,5.47,5.58,5.45,5.53,1335900,5.53
2013-01-03,5.53,5.57,5.5,5.57,1200000,5.57
2013-01-04,5.56,5.61,5.52,5.53,1093900,5.53
2013-01-07,5.57,5.57,5.49,5.5,1630900,5.5
2013-01-08,5.48,5.56,5.46,5.49,1028000,5.49
2013-01-09,5.48,5.56,5.46,5.52,1284700,5.52
2013-01-10,5.41,5.45,5.37,5.42,1859900,5.42
2013-01-11,5.49,5.56,5.44,5.45,1561300,5.45
2013-01-14,5.43,5.52,5.38,5.39,2256400,5.39
2013-01-15,5.4,5.49,5.39,5.47,1430900,5.47
2013-01-16,5.47,5.47,5.37,5.38,1749300,5.38
2013-01-17,5.27,5.27,5.18,5.25,2540600,5.25
2013-01-18,5.23,5.29,5.22,5.22,1433600,5.22
2013-01-21,5.25,5.27,5.24,5.25,175100,5.25
2013-01-22,5.21,5.22,5.14,5.15,3379600,5.15
2013-01-23,5.18,5.33,5.15,5.27,1628400,5.27
2013-01-24,5.2,5.24,5.15,5.21,925500,5.21
2013-01-25,5.19,5.27,5.17,5.21,644300,5.21
2013-01-28,5.17,5.27,5.15,5.17,704100,5.17
2013-01-29,5.1,5.12,5.03,5.07,1383400,5.07
2013-01-30,5.03,5.06,5,5,1157800,5
2013-01-31,5.08,5.1,5.05,5.05,710700,5.05
2013-02-01,5.12,5.15,4.99,5.03,1525600,5.03
2013-02-04,5.16,5.21,5.12,5.2,1655600,5.2
2013-02-05,5.13,5.14,5.1,5.14,667500,5.14
2013-02-06,5.24,5.27,5.1,5.12,1473800,5.12
2013-02-07,5.11,5.24,5.09,5.22,1338200,5.22
2013-02-08,5.17,5.28,5.15,5.22,660100,5.22
2013-02-11,5.25,5.29,5.09,5.1,1487200,5.1
2013-02-12,5.05,5.07,5.02,5.04,968200,5.04
2013-02-13,5.01,5.12,4.99,5.08,2104200,5.08
2013-02-14,5.05,5.07,5.02,5.05,690900,5.05
2013-02-15,5.2,5.26,5.19,5.19,2547100,5.19
2013-02-19,5.21,5.24,5.12,5.13,649800,5.13
2013-02-20,5.11,5.43,5.11,5.37,3503500,5.37
2013-02-21,5.55,5.61,5.51,5.59,2747200,5.59
2013-02-22,5.59,5.63,5.52,5.52,1008300,5.52
2013-02-25,5.5,5.67,5.48,5.65,1034200,5.65
2013-02-26,5.59,5.66,5.53,5.62,1107500,5.62
2013-02-27,5.65,5.65,5.54,5.59,1036300,5.59
2013-02-28,5.6,5.74,5.57,5.71,945000,5.71
2013-03-01,5.84,5.93,5.81,5.83,1790300,5.83
2013-03-04,5.87,6.02,5.87,5.94,1206900,5.94
2013-03-05,5.89,5.93,5.81,5.84,757100,5.84
2013-03-06,5.87,5.99,5.87,5.89,2697800,5.89
2013-03-07,5.81,5.82,5.72,5.74,402800,5.74
2013-03-08,5.77,5.8,5.69,5.71,469300,5.71
2013-03-11,5.76,5.81,5.67,5.7,254500,5.7
2013-03-12,5.57,5.63,5.51,5.63,2730000,5.63
2013-03-13,5.55,5.69,5.52,5.65,878900,5.65
2013-03-14,5.62,5.63,5.56,5.58,593800,5.58
2013-03-15,5.52,5.56,5.49,5.51,704500,5.51
2013-03-18,5.68,5.7,5.47,5.5,1605600,5.5
