Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,4.55,4.57,4.48,4.5,2833100,4.5
2013-01-03,4.5,4.53,4.47,4.48,1479000,4.48
2013-01-04,4.47,4.52,4.44,4.51,1797800,4.51
2013-01-07,4.48,4.54,4.48,4.53,860600,4.53
2013-01-08,4.55,4.56,4.49,4.53,936800,4.53
2013-01-09,4.53,4.56,4.49,4.52,881300,4.52
2013-01-10,4.61,4.63,4.56,4.6,1688400,4.6
2013-01-11,4.52,4.58,4.47,4.57,1060000,4.57
2013-01-14,4.58,4.63,4.51,4.61,1486800,4.61
2013-01-15,4.61,4.61,4.53,4.54,898900,4.54
2013-01-16,4.55,4.63,4.54,4.62,1334700,4.62
2013-01-17,4.72,4.79,4.71,4.73,2490200,4.73
2013-01-18,4.74,4.76,4.7,4.75,3970300,4.75
2013-01-21,4.71,4.75,4.71,4.73,124500,4.73
2013-01-22,4.77,4.83,4.75,4.82,998800,4.82
2013-01-23,4.8,4.82,4.65,4.7,1907600,4.7
2013-01-24,4.76,4.81,4.74,4.75,1110500,4.75
2013-01-25,4.77,4.79,4.7,4.75,1029000,4.75
2013-01-28,4.8,4.8,4.7,4.8,972200,4.8
2013-01-29,4.86,4.92,4.84,4.88,2032500,4.88
2013-01-30,4.92,4.95,4.88,4.94,1579100,4.94
2013-01-31,4.85,4.9,4.85,4.89,956900,4.89
2013-02-01,4.82,4.95,4.79,4.91,1207300,4.91
2013-02-04,4.78,4.82,4.74,4.75,1522600,4.75
2013-02-05,4.82,4.84,4.8,4.8,687400,4.8
2013-02-06,4.7,4.83,4.68,4.82,1291800,4.82
2013-02-07,4.83,4.84,4.7,4.72,1327300,4.72
2013-02-08,4.77,4.79,4.67,4.72,1033600,4.72
2013-02-11,4.69,4.84,4.66,4.83,1657700,4.83
2013-02-12,4.87,4.9,4.85,4.88,1103700,4.88
2013-02-13,4.92,4.93,4.81,4.85,1198700,4.85
2013-02-14,4.87,4.9,4.84,4.87,388900,4.87
2013-02-15,4.73,4.73,4.67,4.73,1818600,4.73
2013-02-19,4.71,4.79,4.68,4.79,848100,4.79
2013-02-20,4.79,4.81,4.51,4.57,2674800,4.57
2013-02-21,4.4,4.44,4.36,4.39,2069700,4.39
2013-02-22,4.38,4.43,4.34,4.43,1249800,4.43
2013-02-25,4.45,4.46,4.3,4.31,1439100,4.31
2013-02-26,4.37,4.42,4.3,4.35,1303900,4.35
2013-02-27,4.32,4.41,4.32,4.37,1236500,4.37
2013-02-28,4.37,4.4,4.26,4.28,1190700,4.28
2013-03-01,4.18,4.2,4.11,4.18,1519800,4.18
2013-03-04,4.16,4.16,4.05,4.11,1047400,4.11
2013-03-05,4.14,4.19,4.11,4.18,1021800,4.18
2013-03-06,4.15,4.15,4.07,4.14,1083400,4.14
2013-03-07,4.19,4.26,4.18,4.24,1078400,4.24
2013-03-08,4.23,4.28,4.2,4.26,854000,4.26
2013-03-11,4.21,4.29,4.18,4.26,707000,4.26
2013-03-12,4.36,4.41,4.32,4.33,983000,4.33
2013-03-13,4.38,4.4,4.27,4.31,621700,4.31
2013-03-14,4.31,4.37,4.31,4.36,269200,4.36
2013-03-15,4.4,4.42,4.37,4.41,629100,4.41
2013-03-18,4.27,4.44,4.25,4.42,978200,4.42
2013-03-19,4.43,4.45,4.27,4.27,1486500,4.27
2013-03-20,4.36,4.38,4.27,4.36,1287100,4.36
2013-03-21,4.31,4.35,4.22,4.27,1540100,4.27
2013-03-22,4.33,4.4,4.29,4.4,2034800,4.4
2013-03-25,4.46,4.56,4.42,4.46,3276800,4.46
2013-03-26,4.56,4.64,4.53,4.62,1411700,4.62
2013-03-27,4.57,4.67,4.56,4.64,1992900,4.64
2013-03-28,4.66,4.72,4.65,4.7,1941600,4.7
2013-04-01,4.63,4.7,4.6,4.68,979100,4.68
2013-04-02,4.61,4.73,4.61,4.67,828500,4.67
2013-04-03,4.68,4.68,4.42,4.45,2535800,4.45
2013-04-04,4.3,4.39,4.23,4.35,2094900,4.35
2013-04-05,4.26,4.32,4.22,4.31,1602900,4.31
2013-04-08,4.33,4.36,4.27,4.36,922400,4.36
2013-04-09,4.33,4.44,4.3,4.4,861300,4.4
2013-04-10,4.37,4.47,4.36,4.45,694200,4.45
2013-04-11,4.42,4.43,4.32,4.35,996500,4.35
2013-04-12,4.18,4.2,4.06,4.12,4356400,4.12
2013-04-15,3.98,3.99,3.84,3.86,3408200,3.86
2013-04-16,3.89,3.93,3.82,3.91,3148000,3.91
2013-04-17,3.84,3.84,3.68,3.73,3016700,3.73
2013-04-18,3.79,3.88,3.71,3.87,2529400,3.87
2013-04-19,3.84,3.87,3.81,3.83,2072600,3.83
2013-04-22,3.88,3.94,3.8,3.92,1387000,3.92
2013-04-23,3.85,3.94,3.83,3.94,3084400,3.94
2013-04-24,3.97,4.14,3.97,4.12,2577800,4.12
2013-04-25,4.1,4.33,4.09,4.28,3750100,4.28
2013-04-26,4.26,4.29,4.17,4.25,1550100,4.25
2013-04-29,4.3,4.4,4.27,4.37,2240600,4.37
2013-04-30,4.37,4.38,4.25,4.26,1958400,4.26
2013-05-01,4.06,4.1,3.99,4.07,4224200,4.07
2013-05-02,4.11,4.35,4.1,4.33,4833700,4.33
2013-05-03,4.43,4.51,4.41,4.47,6050000,4.47
2013-05-06,4.45,4.54,4.42,4.51,1734800,4.51
2013-05-07,4.49,4.54,4.42,4.47,1403700,4.47
2013-05-08,4.51,4.58,4.49,4.56,1642900,4.56
2013-05-09,4.5,4.55,4.46,4.51,954000,4.51
2013-05-10,4.36,4.53,4.27,4.51,3119900,4.51
2013-05-13,4.44,4.48,4.38,4.43,1249600,4.43
2013-05-14,4.4,4.44,4.32,4.34,1375200,4.34
2013-05-15,4.23,4.36,4.16,4.36,2962600,4.36
2013-05-16,4.37,4.47,4.34,4.43,2079400,4.43
2013-05-17,4.51,4.54,4.43,4.52,2680700,4.52
2013-05-21,4.55,4.57,4.47,4.49,915100,4.49
2013-05-22,4.41,4.48,4.3,4.32,3283300,4.32
2013-05-23,4.19,4.34,4.14,4.34,5158900,4.34
2013-05-24,4.24,4.32,4.22,4.3,2672600,4.3
2013-05-27,4.27,4.27,4.25,4.26,84400,4.26
2013-05-28,4.4,4.45,4.38,4.4,1708800,4.4
2013-05-29,4.36,4.4,4.2,4.23,3510800,4.23
2013-05-30,4.14,4.29,4.1,4.25,3790100,4.25
2013-05-31,4.18,4.21,4.08,4.1,5337100,4.1
2013-06-03,4.17,4.25,4.14,4.23,3704000,4.23
2013-06-04,4.19,4.32,4.14,4.25,3362600,4.25
2013-06-05,4.29,4.32,4.25,4.26,1990100,4.26
2013-06-06,4.32,4.4,4.32,4.35,2709700,4.35
2013-06-07,4.3,4.49,4.27,4.48,4429400,4.48
2013-06-10,4.43,4.46,4.4,4.44,842600,4.44
2013-06-11,4.32,4.41,4.31,4.4,1126900,4.4
2013-06-12,4.46,4.5,4.42,4.45,1527700,4.45
2013-06-13,4.41,4.55,4.41,4.53,973300,4.53
2013-06-14,4.63,4.66,4.6,4.64,1891200,4.64
2013-06-17,4.66,4.69,4.61,4.64,1121400,4.64
2013-06-18,4.66,4.7,4.63,4.7,1059200,4.7
2013-06-19,4.69,4.71,4.62,4.65,1001500,4.65
